order_id,customer_id,order_ts,gross_revenue,discount,cogs,status
1,20,2012-03-19 10:42:46+00:00,49.99,0.0,19.49,completed
2,104,2012-03-19 19:27:37+00:00,49.99,0.0,19.49,completed
3,147,2012-03-20 06:44:45+00:00,49.99,0.0,19.49,completed
4,160,2012-03-20 09:41:45+00:00,49.99,0.0,19.49,completed
5,177,2012-03-20 11:28:15+00:00,49.99,0.0,19.49,completed
6,232,2012-03-20 16:12:47+00:00,49.99,0.0,19.49,completed
7,241,2012-03-20 17:03:41+00:00,49.99,0.0,19.49,completed
8,295,2012-03-20 23:35:27+00:00,49.99,0.0,19.49,completed
9,304,2012-03-21 02:35:01+00:00,49.99,0.0,19.49,completed
10,317,2012-03-21 06:45:58+00:00,49.99,0.0,19.49,completed
11,321,2012-03-21 07:28:02+00:00,49.99,0.0,19.49,completed
12,327,2012-03-21 08:21:33+00:00,49.99,0.0,19.49,completed
13,332,2012-03-21 08:45:32+00:00,49.99,0.0,19.49,completed
14,336,2012-03-21 09:12:05+00:00,49.99,0.0,19.49,completed
15,428,2012-03-21 16:40:06+00:00,49.99,0.0,19.49,completed
16,434,2012-03-21 17:13:05+00:00,49.99,0.0,19.49,completed
17,465,2012-03-21 20:28:11+00:00,49.99,0.0,19.49,completed
18,507,2012-03-22 06:15:33+00:00,49.99,0.0,19.49,completed
19,536,2012-03-22 10:03:49+00:00,49.99,0.0,19.49,completed
20,615,2012-03-22 17:49:57+00:00,49.99,0.0,19.49,completed
21,639,2012-03-22 20:33:40+00:00,49.99,0.0,19.49,completed
22,732,2012-03-23 12:09:46+00:00,49.99,0.0,19.49,completed
23,750,2012-03-23 14:16:23+00:00,49.99,0.0,19.49,completed
24,783,2012-03-23 17:14:48+00:00,49.99,0.0,19.49,completed
25,844,2012-03-24 09:21:40+00:00,49.99,0.0,19.49,completed
26,908,2012-03-25 08:32:41+00:00,49.99,0.0,19.49,completed
27,909,2012-03-25 08:51:27+00:00,49.99,0.0,19.49,completed
28,940,2012-03-25 16:00:12+00:00,49.99,0.0,19.49,completed
29,954,2012-03-25 21:23:16+00:00,49.99,0.0,19.49,completed
30,1016,2012-03-26 10:03:39+00:00,49.99,0.0,19.49,completed
